id, featurePt.x, featurePt.y, status
0,453.0,63.0,1
1,3.0,391.0,1
2,302.0,406.0,1
3,379.0,62.0,1
4,391.0,47.0,1
5,139.0,161.0,1
6,155.0,157.0,1
7,157.0,327.0,1
8,358.0,7.0,1
9,23.0,1131.0,1
10,164.0,159.0,1
11,239.0,89.0,1
12,263.0,336.0,1
13,171.0,175.0,1
14,271.0,335.0,1
15,232.0,81.0,1
16,134.0,179.0,1
17,314.0,426.0,1
18,125.0,239.0,1
19,244.0,95.0,1
20,232.0,90.0,1
21,146.0,650.0,1
22,158.0,657.0,1
23,236.0,72.0,1
24,248.0,314.0,1
25,201.0,126.0,1
26,207.0,144.0,1
27,387.0,65.0,1
28,293.0,89.0,1
29,137.0,187.0,1
30,171.0,1156.0,1
31,146.0,151.0,1
32,346.0,179.0,1
33,444.0,90.0,1
34,124.0,230.0,1
35,194.0,149.0,1
36,270.0,938.0,1
37,307.0,236.0,1
38,246.0,108.0,1
39,245.0,191.0,1
40,10.0,728.0,1
41,204.0,110.0,1
42,166.0,419.0,1
43,124.0,755.0,1
44,451.0,107.0,1
45,348.0,164.0,1
46,473.0,104.0,1
47,309.0,412.0,1
48,390.0,346.0,1
49,479.0,190.0,1
50,156.0,1082.0,1
51,323.0,4.0,1
52,9.0,1022.0,1
53,10.0,389.0,1
54,217.0,266.0,1
55,187.0,196.0,1
56,31.0,188.0,1
57,141.0,369.0,1
58,68.0,633.0,1
59,145.0,1017.0,1
60,482.0,156.0,1
61,418.0,210.0,1
62,219.0,120.0,1
63,65.0,457.0,1
64,222.0,494.0,1
65,435.0,135.0,1
66,277.0,564.0,1
67,292.0,523.0,1
68,470.0,19.0,1
69,474.0,141.0,1
70,127.0,198.0,1
71,253.0,102.0,1
72,164.0,313.0,1
73,222.0,378.0,1
74,132.0,68.0,1
75,412.0,205.0,1
76,232.0,187.0,1
77,284.0,335.0,1
78,19.0,145.0,1
79,260.0,315.0,1
80,260.0,935.0,1
81,83.0,1146.0,1
82,183.0,225.0,1
83,213.0,455.0,1
84,377.0,44.0,1
85,473.0,915.0,1
86,126.0,265.0,1
87,224.0,914.0,1
88,369.0,35.0,1
89,76.0,473.0,1
90,160.0,362.0,1
91,243.0,516.0,1
92,158.0,466.0,1
93,408.0,166.0,1
94,176.0,781.0,1
95,146.0,364.0,1
96,151.0,775.0,1
97,178.0,760.0,1
98,75.0,465.0,1
99,184.0,211.0,1
