id, featurePt.x, featurePt.y, status
0,65.0,42.0,1
1,114.0,281.0,1
2,114.0,294.0,1
3,214.0,193.0,1
4,83.0,46.0,1
5,132.0,271.0,1
6,285.0,524.0,1
7,94.0,28.0,1
8,137.0,455.0,1
9,212.0,413.0,1
10,458.0,109.0,1
11,259.0,52.0,1
12,111.0,176.0,1
13,280.0,196.0,1
14,429.0,162.0,1
15,242.0,47.0,1
16,184.0,959.0,1
17,222.0,446.0,1
18,413.0,407.0,1
19,445.0,55.0,1
20,20.0,31.0,1
21,12.0,75.0,1
22,86.0,30.0,1
23,214.0,203.0,1
24,372.0,166.0,1
25,183.0,237.0,1
26,4.0,154.0,1
27,195.0,234.0,1
28,294.0,68.0,1
29,217.0,184.0,1
30,298.0,538.0,1
31,125.0,269.0,1
32,82.0,39.0,1
33,58.0,109.0,1
34,454.0,283.0,1
35,255.0,463.0,1
36,146.0,432.0,1
37,190.0,47.0,1
38,137.0,530.0,1
39,449.0,215.0,1
40,400.0,322.0,1
41,179.0,398.0,1
42,108.0,328.0,1
43,190.0,1222.0,1
44,10.0,297.0,1
45,202.0,98.0,1
46,500.0,6.0,1
47,124.0,46.0,1
48,292.0,347.0,1
49,201.0,407.0,1
50,151.0,420.0,1
51,232.0,209.0,1
52,257.0,224.0,1
53,420.0,156.0,1
54,329.0,294.0,1
55,246.0,463.0,1
56,207.0,56.0,1
57,226.0,195.0,1
58,186.0,225.0,1
59,96.0,916.0,1
60,210.0,140.0,1
61,106.0,374.0,1
62,124.0,56.0,1
63,339.0,117.0,1
64,420.0,409.0,1
65,76.0,71.0,1
66,245.0,228.0,1
67,348.0,142.0,1
68,506.0,45.0,1
69,132.0,576.0,1
70,380.0,66.0,1
71,406.0,47.0,1
72,280.0,68.0,1
73,278.0,477.0,1
74,261.0,677.0,1
75,321.0,253.0,1
76,31.0,22.0,1
77,293.0,530.0,1
78,94.0,802.0,1
79,77.0,59.0,1
80,4.0,74.0,1
81,357.0,254.0,1
82,134.0,924.0,1
83,105.0,338.0,1
84,153.0,410.0,1
85,203.0,621.0,1
86,190.0,582.0,1
87,391.0,3.0,1
88,474.0,70.0,1
89,73.0,911.0,1
90,388.0,354.0,1
91,397.0,332.0,1
92,201.0,14.0,1
93,285.0,544.0,1
94,123.0,491.0,1
95,201.0,983.0,1
96,196.0,65.0,1
97,376.0,460.0,1
98,377.0,290.0,1
99,390.0,280.0,1
