id, featurePt.x, featurePt.y, status
0,1014.0,701.0,1
1,1001.0,704.0,1
2,1076.0,861.0,1
3,816.0,711.0,1
4,803.0,708.0,1
5,1204.0,1010.0,1
6,1077.0,816.0,1
7,968.0,709.0,1
8,978.0,1027.0,1
9,976.0,655.0,1
10,1668.0,753.0,1
11,1221.0,1010.0,1
12,1640.0,641.0,1
13,1078.0,974.0,1
14,960.0,1024.0,1
15,853.0,673.0,1
16,1613.0,814.0,1
17,785.0,557.0,1
18,1435.0,832.0,1
19,643.0,461.0,1
20,1460.0,647.0,1
21,1093.0,950.0,1
22,1600.0,355.0,1
23,297.0,994.0,1
24,900.0,509.0,1
25,948.0,693.0,1
26,1112.0,961.0,1
27,1065.0,963.0,1
28,1462.0,764.0,1
29,1678.0,825.0,1
30,1691.0,764.0,1
31,673.0,429.0,1
32,1084.0,962.0,1
33,1075.0,962.0,1
34,1021.0,649.0,1
35,848.0,714.0,1
36,1096.0,974.0,1
37,1440.0,768.0,1
38,1447.0,778.0,1
39,1462.0,833.0,1
40,903.0,655.0,1
41,1095.0,965.0,1
42,894.0,495.0,1
43,1076.0,853.0,1
44,1390.0,997.0,1
45,1107.0,973.0,1
46,318.0,299.0,1
47,721.0,428.0,1
48,453.0,298.0,1
49,1222.0,932.0,1
50,839.0,660.0,1
51,1609.0,355.0,1
52,758.0,584.0,1
53,761.0,603.0,1
54,1702.0,823.0,1
55,1011.0,956.0,1
56,722.0,464.0,1
57,1042.0,987.0,1
58,1329.0,916.0,1
59,1426.0,707.0,1
60,1314.0,885.0,1
61,926.0,660.0,1
62,1076.0,500.0,1
63,1164.0,947.0,1
64,1102.0,322.0,1
65,1426.0,1012.0,1
66,764.0,452.0,1
67,790.0,657.0,1
68,891.0,661.0,1
69,622.0,437.0,1
70,952.0,944.0,1
71,368.0,292.0,1
72,1096.0,1029.0,1
73,466.0,328.0,1
74,1663.0,760.0,1
75,1304.0,856.0,1
76,1086.0,976.0,1
77,757.0,572.0,1
78,1272.0,845.0,1
79,947.0,679.0,1
80,846.0,464.0,1
81,1365.0,929.0,1
82,1185.0,485.0,1
83,275.0,953.0,1
84,1192.0,732.0,1
85,1218.0,780.0,1
86,1068.0,971.0,1
87,800.0,462.0,1
88,1529.0,816.0,1
89,389.0,321.0,1
90,871.0,695.0,1
91,227.0,336.0,1
92,880.0,562.0,1
93,1163.0,724.0,1
94,1387.0,706.0,1
95,175.0,338.0,1
96,1261.0,475.0,1
97,1018.0,601.0,1
98,1139.0,1003.0,1
99,1160.0,451.0,1
