id, featurePt.x, featurePt.y, status
0,720.0,602.0,1
1,587.0,250.0,1
2,245.0,475.0,1
3,460.0,12.0,1
4,577.0,247.0,1
5,432.0,14.0,1
6,258.0,471.0,1
7,243.0,304.0,1
8,630.0,241.0,1
9,231.0,341.0,1
10,261.0,338.0,1
11,244.0,466.0,1
12,127.0,332.0,1
13,267.0,298.0,1
14,110.0,124.0,1
15,477.0,274.0,1
16,704.0,235.0,1
17,577.0,235.0,1
18,450.0,20.0,1
19,370.0,304.0,1
20,449.0,234.0,1
21,309.0,104.0,1
22,236.0,314.0,1
23,165.0,20.0,1
24,629.0,134.0,1
25,584.0,326.0,1
26,495.0,23.0,1
27,715.0,214.0,1
28,532.0,271.0,1
29,688.0,231.0,1
30,656.0,133.0,1
31,210.0,14.0,1
32,711.0,564.0,1
33,229.0,194.0,1
34,307.0,138.0,1
35,156.0,312.0,1
36,358.0,306.0,1
37,951.0,297.0,1
38,781.0,602.0,1
39,550.0,244.0,1
40,362.0,320.0,1
41,171.0,128.0,1
42,203.0,130.0,1
43,268.0,469.0,1
44,541.0,271.0,1
45,111.0,332.0,1
46,103.0,323.0,1
47,115.0,223.0,1
48,611.0,246.0,1
49,515.0,430.0,1
50,462.0,191.0,1
51,111.0,194.0,1
52,791.0,574.0,1
53,499.0,268.0,1
54,125.0,194.0,1
55,28.0,117.0,1
56,600.0,264.0,1
57,118.0,350.0,1
58,565.0,254.0,1
59,630.0,225.0,1
60,557.0,260.0,1
61,278.0,367.0,1
62,200.0,194.0,1
63,383.0,301.0,1
64,485.0,207.0,1
65,123.0,318.0,1
66,158.0,1.0,1
67,464.0,19.0,1
68,512.0,152.0,1
69,394.0,26.0,1
70,483.0,282.0,1
71,260.0,191.0,1
72,2.0,193.0,1
73,249.0,133.0,1
74,49.0,119.0,1
75,379.0,143.0,1
76,619.0,247.0,1
77,229.0,328.0,1
78,402.0,115.0,1
79,695.0,235.0,1
80,199.0,747.0,1
81,345.0,193.0,1
82,368.0,270.0,1
83,873.0,620.0,1
84,45.0,224.0,1
85,548.0,337.0,1
86,789.0,601.0,1
87,406.0,327.0,1
88,590.0,237.0,1
89,779.0,586.0,1
90,139.0,327.0,1
91,447.0,209.0,1
92,675.0,220.0,1
93,1085.0,596.0,1
94,446.0,147.0,1
95,6.0,37.0,1
96,228.0,465.0,1
97,649.0,138.0,1
98,321.0,193.0,1
99,449.0,191.0,1
